iter	Passed	Remaining
411	4082	5825
412	4091	5815
413	4100	5804
414	4110	5794
415	4120	5784
416	4130	5774
417	4140	5764
418	4149	5754
419	4159	5744
420	4169	5734
421	4179	5724
422	4189	5714
423	4198	5703
424	4209	5695
425	4219	5685
426	4228	5674
427	4238	5664
428	4248	5654
429	4257	5644
430	4267	5634
431	4277	5623
432	4287	5613
433	4296	5602
434	4306	5593
435	4315	5582
436	4325	5572
437	4334	5561
438	4343	5550
439	4353	5540
440	4362	5529
441	4371	5519
442	4381	5508
443	4390	5498
444	4399	5487
445	4409	5476
446	4418	5466
447	4428	5456
448	4438	5446
449	4447	5436
450	4456	5425
451	4466	5415
452	4475	5404
453	4485	5394
454	4494	5383
455	4504	5373
456	4513	5363
457	4523	5353
458	4533	5342
459	4542	5332
460	4552	5322
461	4561	5311
462	4572	5302
463	4581	5292
464	4591	5282
465	4600	5272
466	4610	5261
467	4620	5252
468	4629	5241
469	4639	5231
470	4649	5221
471	4658	5211
472	4667	5200
473	4677	5190
474	4686	5179
475	4695	5169
476	4705	5159
477	4715	5149
478	4725	5139
479	4734	5128
480	4743	5118
481	4752	5107
482	4762	5097
483	4771	5086
484	4780	5076
485	4790	5066
486	4800	5056
487	4810	5047
488	4821	5038
489	4831	5028
490	4840	5017
491	4850	5008
492	4860	4998
493	4870	4988
494	4880	4978
495	4890	4969
496	4901	4960
497	4911	4950
498	4920	4940
499	4929	4929
500	4939	4919
501	4949	4910
502	4959	4899
503	4968	4889
504	4978	4879
505	4987	4869
506	4997	4859
507	5007	4849
508	5016	4839
509	5025	4828
510	5035	4818
511	5044	4808
512	5053	4797
513	5063	4787
514	5072	4777
515	5082	4767
516	5091	4756
517	5101	4746
518	5111	4736
519	5120	4726
520	5129	4715
521	5138	4705
522	5147	4695
523	5157	4685
524	5166	4674
525	5175	4664
526	5184	4653
527	5194	4643
528	5202	4632
529	5213	4623
530	5222	4613
531	5231	4602
532	5242	4592
533	5251	4582
534	5260	4572
535	5270	4562
536	5280	4552
537	5290	4543
538	5299	4532
539	5309	4522
540	5317	4511
541	5326	4501
542	5335	4490
543	5345	4480
544	5354	4470
545	5363	4459
546	5373	4450
547	5382	4439
548	5392	4429
549	5401	4419
550	5410	4408
551	5419	4398
552	5428	4387
553	5437	4377
554	5446	4367
555	5456	4357
556	5465	4346
557	5474	4336
558	5484	4326
559	5493	4315
560	5501	4305
561	5510	4294
562	5520	4284
563	5529	4274
564	5539	4264
565	5548	4254
566	5558	4244
567	5567	4234
568	5576	4224
569	5586	4214
570	5595	4203
571	5604	4193
572	5613	4183
573	5622	4173
574	5632	4162
575	5641	4152
576	5651	4142
577	5660	4132
578	5669	4122
579	5678	4112
580	5689	4102
581	5698	4092
582	5707	4082
583	5716	4072
584	5726	4062
585	5735	4051
586	5744	4041
587	5754	4031
588	5763	4021
589	5773	4012
590	5784	4002
591	5794	3993
592	5804	3983
593	5813	3973
594	5823	3963
595	5833	3954
596	5842	3944
597	5853	3935
598	5863	3925
599	5873	3915
600	5883	3906
601	5894	3896
602	5904	3887
603	5916	3878
604	5925	3868
605	5936	3859
606	5945	3849
607	5955	3839
608	5964	3829
609	5973	3819
610	5983	3809
611	5993	3799
612	6003	3789
613	6012	3779
614	6021	3769
615	6031	3760
616	6041	3750
617	6051	3740
618	6060	3730
619	6069	3719
620	6079	3710
621	6088	3700
622	6098	3690
623	6107	3680
624	6116	3669
625	6126	3660
626	6136	3650
627	6146	3640
628	6155	3630
629	6165	3621
630	6175	3611
631	6186	3602
632	6196	3592
633	6205	3582
634	6214	3572
635	6224	3562
636	6234	3552
637	6243	3542
638	6252	3532
639	6261	3522
640	6271	3512
641	6280	3502
642	6289	3491
643	6299	3482
644	6308	3472
645	6318	3462
646	6327	3452
647	6337	3442
648	6346	3432
649	6356	3422
650	6365	3412
651	6375	3403
652	6385	3393
653	6394	3383
654	6403	3372
655	6412	3362
656	6421	3352
657	6430	3342
658	6440	3332
659	6449	3322
660	6459	3312
661	6467	3302
662	6477	3292
663	6486	3282
664	6496	3272
665	6505	3262
666	6515	3252
667	6524	3242
668	6533	3232
669	6543	3222
670	6552	3212
671	6561	3202
672	6571	3192
673	6580	3182
674	6590	3172
675	6598	3162
676	6608	3152
677	6617	3142
678	6627	3132
679	6636	3122
680	6645	3112
681	6655	3103
682	6664	3093
683	6674	3083
684	6682	3073
685	6692	3063
686	6701	3053
687	6711	3043
688	6721	3033
689	6730	3024
690	6740	3014
691	6749	3004
692	6759	2994
693	6768	2984
694	6779	2975
695	6789	2965
696	6799	2955
697	6809	2946
698	6820	2936
699	6829	2926
700	6839	2917
701	6849	2907
702	6859	2898
703	6869	2888
704	6879	2878
705	6890	2869
706	6899	2859
707	6909	2849
708	6919	2839
709	6928	2829
710	6938	2820
711	6947	2810
712	6957	2800
713	6967	2790
714	6976	2780
715	6986	2771
716	6995	2761
717	7005	2751
718	7014	2741
719	7024	2731
720	7034	2721
721	7043	2711
722	7052	2702
723	7062	2692
724	7071	2682
725	7080	2672
726	7090	2662
727	7099	2652
728	7108	2642
729	7118	2632
730	7127	2622
731	7138	2613
732	7147	2603
733	7157	2593
734	7166	2583
735	7176	2574
736	7186	2564
737	7195	2554
738	7204	2544
739	7213	2534
740	7223	2524
741	7232	2514
742	7241	2504
743	7251	2494
744	7259	2484
745	7269	2475
746	7279	2465
747	7288	2455
748	7297	2445
749	7306	2435
750	7315	2425
751	7324	2415
752	7333	2405
753	7343	2395
754	7352	2386
755	7362	2376
756	7372	2366
757	7381	2356
758	7390	2346
759	7399	2336
760	7409	2326
761	7418	2317
762	7428	2307
763	7437	2297
764	7447	2287
765	7457	2278
766	7467	2268
767	7477	2258
768	7486	2248
769	7495	2238
770	7504	2228
771	7514	2219
772	7523	2209
773	7532	2199
774	7541	2189
775	7551	2179
776	7560	2169
777	7570	2160
778	7579	2150
779	7589	2140
780	7598	2130
781	7607	2120
782	7616	2110
783	7626	2101
784	7635	2091
785	7644	2081
786	7653	2071
787	7663	2061
788	7673	2052
789	7682	2042
790	7692	2032
791	7701	2022
792	7711	2012
793	7720	2003
794	7729	1993
795	7739	1983
796	7748	1973
797	7759	1964
798	7770	1954
799	7781	1945
800	7791	1935
801	7801	1926
802	7812	1916
803	7822	1906
804	7831	1897
805	7842	1887
806	7851	1877
807	7861	1868
808	7872	1858
809	7881	1848
810	7890	1838
811	7899	1828
812	7908	1819
813	7917	1809
814	7927	1799
815	7936	1789
816	7946	1779
817	7955	1770
818	7964	1760
819	7975	1750
820	7984	1740
821	7993	1730
822	8002	1721
823	8012	1711
824	8022	1701
825	8031	1691
826	8041	1682
827	8051	1672
828	8061	1662
829	8071	1653
830	8080	1643
831	8091	1633
832	8101	1624
833	8110	1614
834	8120	1604
835	8129	1594
836	8138	1584
837	8148	1575
838	8159	1565
839	8169	1556
840	8178	1546
841	8188	1536
842	8197	1526
843	8206	1516
844	8216	1507
845	8225	1497
846	8235	1487
847	8244	1477
848	8254	1468
849	8263	1458
850	8272	1448
851	8281	1438
852	8290	1428
853	8299	1418
854	8308	1409
855	8318	1399
856	8327	1389
857	8337	1379
858	8346	1370
859	8356	1360
860	8365	1350
861	8374	1340
862	8384	1331
863	8393	1321
864	8402	1311
865	8412	1301
866	8422	1292
867	8432	1282
868	8442	1272
869	8452	1263
870	8461	1253
871	8470	1243
872	8480	1233
873	8489	1223
874	8499	1214
875	8508	1204
876	8517	1194
877	8526	1184
878	8535	1174
879	8544	1165
880	8554	1155
881	8563	1145
882	8572	1135
883	8581	1126
884	8590	1116
885	8601	1106
886	8611	1097
887	8620	1087
888	8630	1077
889	8640	1067
890	8650	1058
891	8659	1048
892	8669	1038
893	8679	1029
894	8687	1019
895	8697	1009
896	8706	999
897	8715	989
898	8725	980
899	8735	970
900	8746	961
901	8756	951
902	8766	941
903	8776	932
904	8786	922
905	8796	912
906	8807	903
907	8817	893
908	8827	883
909	8836	873
910	8846	864
911	8856	854
912	8865	844
913	8875	835
914	8885	825
915	8894	815
916	8904	805
917	8913	796
918	8923	786
919	8932	776
920	8942	767
921	8951	757
922	8961	747
923	8970	737
924	8979	728
925	8989	718
926	8998	708
927	9008	698
928	9017	689
929	9027	679
930	9037	669
931	9046	660
932	9057	650
933	9066	640
934	9076	630
935	9085	621
936	9094	611
937	9104	601
938	9113	592
939	9123	582
940	9132	572
941	9142	562
942	9151	553
943	9161	543
944	9171	533
945	9180	524
946	9190	514
947	9199	504
948	9208	494
949	9218	485
950	9228	475
951	9237	465
952	9246	456
953	9257	446
954	9266	436
955	9275	426
956	9284	417
957	9293	407
958	9303	397
959	9312	388
960	9321	378
961	9331	368
962	9340	358
963	9350	349
964	9359	339
965	9369	329
966	9379	320
967	9389	310
968	9399	300
969	9409	291
970	9419	281
971	9428	271
972	9439	261
973	9448	252
974	9457	242
975	9467	232
976	9476	223
977	9485	213
978	9494	203
979	9505	193
980	9514	184
981	9523	174
982	9533	164
983	9542	155
984	9552	145
985	9561	135
986	9571	126
987	9580	116
988	9589	106
989	9599	96
990	9608	87
991	9618	77
992	9628	67
993	9638	58
994	9648	48
995	9658	38
996	9668	29
997	9677	19
998	9687	9
999	9697	0
