iter	Logloss
0	0.6449159424
1	0.6004203159
2	0.5604537403
3	0.5264506017
4	0.493399904
5	0.4648137253
6	0.43750485
7	0.4125397701
8	0.3902509401
9	0.3697594424
10	0.3513602582
11	0.3340681207
12	0.3194821768
13	0.3054536136
14	0.2930941793
15	0.2816495975
16	0.2715957021
17	0.2625649182
18	0.2541673146
19	0.2464801694
20	0.2392328931
21	0.233113039
22	0.2276326891
23	0.2233395176
24	0.2185629701
25	0.2145536781
26	0.210319777
27	0.2064838344
28	0.2027511202
29	0.1995437382
30	0.1964984593
31	0.1936869199
32	0.1909786798
33	0.1890161856
34	0.1870328746
35	0.1851658703
36	0.1832098925
37	0.1811407941
38	0.179479839
39	0.1778409025
40	0.176568302
41	0.1752663929
42	0.1742124539
43	0.1730314576
44	0.1719120097
45	0.1710188945
46	0.170000433
47	0.1692392914
48	0.1684085562
49	0.1677412268
50	0.1670974711
51	0.1664907391
52	0.1658982083
53	0.1654029435
54	0.1647898088
55	0.1642715195
56	0.1637943218
57	0.1633112084
58	0.1627893689
59	0.1624012501
60	0.1619886323
61	0.1614393914
62	0.1611073791
63	0.1607402406
64	0.1603017122
65	0.1598510781
66	0.1595274693
67	0.1592061448
68	0.1589569518
69	0.15859786
70	0.1583375309
71	0.1580749652
72	0.1578595101
73	0.1576641658
74	0.1574604902
75	0.1571734028
76	0.1569035543
77	0.1566164966
78	0.1564037071
79	0.1562385947
80	0.1560754505
81	0.1558929832
82	0.1557010155
83	0.1555041166
84	0.155292024
85	0.1550787688
86	0.1549630049
87	0.1548242573
88	0.1546454341
89	0.1544792175
90	0.154327783
91	0.1541576412
92	0.1538902703
93	0.1537845911
94	0.1537197431
95	0.1535331075
96	0.1533899187
97	0.1532712925
98	0.1531610024
99	0.1530682917
100	0.152981371
101	0.1528805418
102	0.1528066714
103	0.1526414241
104	0.1525223829
105	0.1524344454
106	0.1522853578
107	0.1521842108
108	0.1519888104
109	0.1518495799
110	0.1517536631
111	0.1516531773
112	0.1515453611
113	0.151425572
114	0.1512899992
115	0.1512059499
116	0.1510871035
117	0.150980907
118	0.1508703429
119	0.1507877949
120	0.150680936
121	0.1505637599
122	0.1504608207
123	0.1503286946
124	0.1502167993
125	0.1501669851
126	0.1500885084
127	0.149981231
128	0.1498852
129	0.1498401643
130	0.1497559625
131	0.1496946738
132	0.1496356513
133	0.1495335425
134	0.1494392577
135	0.1493169552
136	0.1492207956
137	0.1491086299
138	0.1489873795
139	0.1489208399
140	0.1488338046
141	0.1487286513
142	0.1486571679
143	0.1485781254
144	0.1484865672
145	0.1484029068
146	0.1482984179
147	0.1482358256
148	0.1481426371
149	0.1480146428
150	0.1479561986
151	0.1479008762
152	0.1478024386
153	0.1477090671
154	0.1475732182
155	0.1474868382
156	0.1474120885
157	0.1473555092
158	0.1472400636
159	0.1471484351
160	0.1471151306
161	0.1470384438
162	0.1469590776
163	0.1468740954
164	0.1468210168
165	0.1467434782
166	0.146642102
167	0.1465778895
168	0.1465162879
169	0.1464380281
170	0.1463723858
171	0.1462907532
172	0.1462530072
173	0.1462061268
174	0.146147695
175	0.1460839906
176	0.1460046022
177	0.1459445672
178	0.1458804006
179	0.1458047015
180	0.1457342132
181	0.1456281152
182	0.1455787408
183	0.1453822628
184	0.145330449
185	0.1452853294
186	0.145167301
187	0.1451255373
188	0.1450783304
189	0.1450457357
190	0.1449269506
191	0.1448692104
192	0.1446878985
193	0.1446090864
194	0.1445671286
195	0.1444970725
196	0.1444087618
197	0.1443350552
198	0.1442694189
199	0.1442191511
200	0.1441362375
201	0.1440942685
202	0.144009524
203	0.1439353471
204	0.1438619267
205	0.1437999042
206	0.1437138031
207	0.1435822548
208	0.1435447821
209	0.1434934884
210	0.143450736
211	0.143393269
212	0.1433280391
213	0.1432403786
214	0.1431881447
215	0.1431392243
216	0.1430510167
217	0.1429908096
218	0.142940942
219	0.1429016999
220	0.1428454878
221	0.1428065422
222	0.1427499249
223	0.1427233633
224	0.142663726
225	0.142618063
226	0.1425248801
227	0.1424796448
228	0.1424204407
229	0.1423580758
230	0.1422856737
231	0.1421778595
232	0.1421478814
233	0.1420816456
234	0.1420531137
235	0.1419708771
236	0.1419052655
237	0.1418825107
238	0.1418234227
239	0.1417514301
240	0.141687021
241	0.1416125532
242	0.1415579602
243	0.1415248287
244	0.1414435012
245	0.1413956601
246	0.1413004148
247	0.1412457136
248	0.1411256433
249	0.1410395208
250	0.1408810047
251	0.1408253007
252	0.1407833649
