model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
GBM_grid_1_AutoML_1_20230805_105950_model_8,0.7968707383171697,0.16075933024564198,0.2515228522732605,0.3492351713589251,0.20231143151777567,0.04092991532277165,318,0.005278,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_4,0.7964852505127865,0.16408276273302866,0.2407308795146485,0.3315435019422992,0.20451139400257612,0.04182491027687694,291,0.004468,GBM
GBM_5_AutoML_1_20230805_105950,0.7960523581270534,0.1627724652502923,0.23902975227962744,0.33774637359065274,0.20398847697850395,0.04161129874000965,215,0.0038439999999999998,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_6,0.7929643156736051,0.16282741258395306,0.2417815664572861,0.3466116060672161,0.20369799177109454,0.041492871851576914,158,0.003479,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_14,0.7921568475849217,0.16352135822531189,0.23308134395331925,0.3466767770850695,0.2039069453782023,0.041578042373469175,206,0.0034509999999999996,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_7,0.7914001289931026,0.16157120536597885,0.2440721203963664,0.3418919576935085,0.20237109693834796,0.04095406087603021,298,0.0045520000000000005,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_9,0.7903500996949328,0.16091757446909816,0.24843508846942425,0.3372405784971064,0.20210449641927225,0.04084622747288763,295,0.004511,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_1,0.7893676541405612,0.16310196315761122,0.2380126857931808,0.3417802594491944,0.2035584856523392,0.041436057081073584,265,0.004115,GBM
DRF_1_AutoML_1_20230805_105950,0.7889065767290171,0.1630555042310482,0.24682743588632755,0.3627145502837859,0.2027504654340738,0.04110775123373355,806,0.007893,DRF
GBM_4_AutoML_1_20230805_105950,0.7858117073578381,0.1641354182238077,0.2315213375492389,0.3666382732690693,0.2039678976468717,0.04160290327048473,316,0.004268999999999999,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_13,0.78453150948799,0.16295022886944902,0.2497976887870804,0.3589025255428167,0.20324206814414145,0.04130733826350782,321,0.004749000000000001,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_3,0.7842068333443551,0.1650203237000656,0.22812822704105745,0.3598970347269129,0.20470662787463093,0.04190480349580265,250,0.0038799999999999998,GBM
GLM_1_AutoML_1_20230805_105950,0.7833563474487671,0.16324907360813662,0.2466851861753919,0.3717597501819689,0.20277558463901948,0.04111793772569616,168,0.000713,GLM
GBM_grid_1_AutoML_1_20230805_105950_model_15,0.7725655129120867,0.17333078807763455,0.2383552216896321,0.3635383865246185,0.20721356645538952,0.04293746212316213,25,0.0017530000000000002,GBM
GBM_grid_1_AutoML_1_20230805_105950_model_5,0.7645297372311141,0.16803112917782925,0.2256747931922021,0.3534257747345261,0.2052523586494529,0.04212853073116364,361,0.00426,GBM
XRT_1_AutoML_1_20230805_105950,0.7364589046421615,0.1823901829528325,0.2082806506999582,0.3635663247943672,0.20819164791946831,0.04334376226342386,151,0.002325,DRF
